Dates,Summary,Precip Type,Temperature,Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars),Daily Summary
2017-03-03,Partly Cloudy,rain,9.5,0.89,14.1,251,15.8,1015.13,Partly cloudy throughout the day.
2017-03-04,Partly Cloudy,rain,9.4,,14.3,259,15.8,1015.63,Partly cloudy throughout the day.
2017-03-05,Mostly Cloudy,rain,9.4,0.89,3.9,204,15.0,1015.94,Partly cloudy throughout the day.
2017-03-06,Partly Cloudy,rain,,0.83,14.1,269,15.8,1016.41,Partly cloudy throughout the day.
2017-03-07,Mostly Cloudy,rain,8.8,0.83,,259,15.8,1016.51,Partly cloudy throughout the day.
2017-03-08,Partly Cloudy,rain,9.2,0.85,14.0,258,15.0,1016.66,Partly cloudy throughout the day.
2017-03-09,Partly Cloudy,rain,,0.95,12.4,259,10.0,1016.72,Partly cloudy throughout the day.
2017-03-10,Partly Cloudy,rain,8.8,0.89,14.2,260,10.0,1016.84,Partly cloudy throughout the day.
2017-03-11,Partly Cloudy,rain,10.8,0.82,11.3,259,10.0,1017.37,Partly cloudy throughout the day.
2017-03-12,Partly Cloudy,rain,,0.72,12.5,279,10.0,1017.22,Partly cloudy throughout the day.
2017-03-13,Partly Cloudy,rain,16.0,0.67,17.6,290,11.2,1017.42,Partly cloudy throughout the day.
2017-03-14,Partly Cloudy,rain,17.1,0.54,19.8,316,11.4,1017.74,Partly cloudy throughout the day.
2017-03-15,Partly Cloudy,rain,17.8,0.55,21.9,281,11.3,1017.59,Partly cloudy throughout the day.
2017-03-16,Partly Cloudy,rain,17.3,0.51,20.7,289,11.3,1017.48,Partly cloudy throughout the day.
2017-03-17,Partly Cloudy,rain,18.9,0.47,15.4,262,11.4,1017.17,Partly cloudy throughout the day.
2017-03-18,Partly Cloudy,rain,,0.46,10.4,288,11.3,1016.47,Partly cloudy throughout the day.
2017-03-19,Partly Cloudy,rain,15.4,0.6,14.4,251,11.3,1016.15,Partly cloudy throughout the day.
2017-03-20,Mostly Cloudy,rain,15.6,0.63,11.2,230,11.4,1016.17,Partly cloudy throughout the day.
2017-03-21,Mostly Cloudy,rain,14.3,0.69,8.5,163,11.2,1015.82,Partly cloudy throughout the day.
2017-03-22,Mostly Cloudy,rain,13.1,0.7,7.6,139,11.2,1015.83,Partly cloudy throughout the day.
2017-03-23,Mostly Cloudy,rain,11.5,0.77,7.4,147,11.0,1015.85,Partly cloudy throughout the day.
2017-03-24,Mostly Cloudy,rain,11.2,0.76,4.9,160,10.0,1015.77,Partly cloudy throughout the day.
2017-03-25,Partly Cloudy,rain,10.1,0.79,6.6,163,15.8,1015.4,Partly cloudy throughout the day.
2017-03-26,Mostly Cloudy,rain,10.2,0.77,3.9,152,15.0,1015.51,Partly cloudy throughout the day.
2017-03-27,Partly Cloudy,rain,10.4,0.62,17.0,150,15.8,1014.4,Mostly cloudy throughout the day.
2017-03-28,Partly Cloudy,rain,9.9,0.66,17.2,149,15.8,1014.2,Mostly cloudy throughout the day.
2017-03-29,Mostly Cloudy,rain,11.2,0.8,10.8,163,15.0,1008.71,Mostly cloudy throughout the day.
2017-03-30,Partly Cloudy,rain,7.2,0.79,11.1,180,15.8,1014.47,Mostly cloudy throughout the day.
2017-03-31,Partly Cloudy,rain,6.1,0.82,6.6,161,15.8,1014.45,Mostly cloudy throughout the day.
2017-04-01,Partly Cloudy,rain,6.8,0.83,13.0,135,15.0,1014.49,Mostly cloudy throughout the day.
2017-04-02,Mostly Cloudy,rain,7.3,0.85,11.2,141,6.2,1014.52,Mostly cloudy throughout the day.
2017-04-03,Mostly Cloudy,rain,7.8,0.83,12.8,150,8.1,1014.16,Mostly cloudy throughout the day.
2017-04-04,Mostly Cloudy,rain,9.9,0.78,13.7,160,10.0,1014.24,Mostly cloudy throughout the day.
2017-04-05,Mostly Cloudy,rain,12.2,0.72,15.6,150,10.0,1014.25,Mostly cloudy throughout the day.
2017-04-06,Mostly Cloudy,rain,,0.61,17.5,151,10.0,1013.96,Mostly cloudy throughout the day.
2017-04-07,Mostly Cloudy,rain,17.4,0.52,22.8,169,10.0,1013.85,Mostly cloudy throughout the day.
2017-04-08,Mostly Cloudy,rain,19.0,0.46,23.9,169,10.0,1013.04,Mostly cloudy throughout the day.
2017-04-09,Mostly Cloudy,rain,20.0,0.4,28.4,170,10.0,1012.22,Mostly cloudy throughout the day.
2017-04-10,Mostly Cloudy,rain,,0.4,26.9,187,10.4,1011.44,Mostly cloudy throughout the day.
2017-04-11,Mostly Cloudy,rain,21.2,0.37,25.7,179,10.0,1010.52,Mostly cloudy throughout the day.
